[Name]
User Points

[Data]
"Time","Monitor Point: Monitor Point 1 (DT)","Monitor Point: Monitor Point 1 (Velocity v)","Monitor Point: Monitor Point 1min (DT)","Monitor Point: Monitor Point 1min (Velocity v)","Monitor Point: Monitor Point 2 (DT)","Monitor Point: Monitor Point 2 (Velocity v)","Monitor Point: Monitor Point 2min (DT)","Monitor Point: Monitor Point 2min (Velocity v)","Monitor Point: Monitor Point 3 (DT)","Monitor Point: Monitor Point 3 (Velocity v)","Monitor Point: Monitor Point 3min (DT)","Monitor Point: Monitor Point 3min (Velocity v)","Monitor Point: Monitor Point 4 (DT)","Monitor Point: Monitor Point 4 (Velocity v)","Monitor Point: Monitor Point 4min (DT)","Monitor Point: Monitor Point 4min (Velocity v)","Monitor Point: Monitor Point 5 (DT)","Monitor Point: Monitor Point 5 (Velocity v)","Monitor Point: Monitor Point 5min (DT)","Monitor Point: Monitor Point 5min (Velocity v)","Monitor Point: Monitor Point 6 (DT)","Monitor Point: Monitor Point 6 (Velocity v)","Monitor Point: Monitor Point 6min (DT)","Monitor Point: Monitor Point 6min (Velocity v)"
1.00000001e-01,2.21533491e-03,8.31208311e-08,2.38166796e-03,8.30471123e-08,1.39729864e-05,6.13686453e-08,5.27229022e-05,6.56066845e-08,2.97565180e-07,5.08364266e-08,1.99474982e-07,4.86083600e-08,1.85741555e-09,4.03328215e-08,1.61681442e-08,4.26304645e-08,3.55839802e-11,3.46851685e-08,2.91606739e-11,3.30024932e-08,7.38964445e-13,3.05230472e-08,9.09494702e-13,2.94201161e-08
2.00000003e-01,7.67084910e-03,2.32438893e-07,8.17968044e-03,2.30979182e-07,5.26540425e-05,1.79957411e-07,1.95238608e-04,1.90503314e-07,1.15119235e-06,1.51624434e-07,7.71674706e-07,1.47059865e-07,7.31080263e-09,1.23660442e-07,6.30686827e-08,1.30627299e-07,1.40687462e-10,1.06787759e-07,1.15107923e-10,1.02230402e-07,2.78532752e-12,9.32006543e-08,3.52429197e-12,9.07258624e-08
3.00000012e-01,2.03262437e-02,4.30506134e-07,2.13976055e-02,4.27562668e-07,1.65129910e-04,3.49410499e-07,5.89543837e-04,3.66877316e-07,3.85273643e-06,3.01066819e-07,2.58255750e-06,2.94179472e-07,2.57373927e-08,2.50928821e-07,2.16042679e-07,2.64622201e-07,5.05337994e-10,2.19011170e-07,4.10977918e-10,2.10270102e-07,1.00044417e-11,1.91940600e-07,1.25623956e-11,1.86887476e-07
4.00000006e-01,4.43487428e-02,6.58440456e-07,4.60498147e-02,6.54312487e-07,4.47927567e-04,5.53770178e-07,1.51927513e-03,5.77869969e-07,1.15075072e-05,4.86218369e-07,7.71877603e-06,4.76899572e-07,8.36035383e-08,4.12144573e-07,6.70170834e-07,4.33516789e-07,1.70734893e-09,3.63270061e-07,1.37083589e-09,3.49120796e-07,3.43902684e-11,3.20063862e-07,4.30304681e-11,3.11213626e-07
5.00000000e-01,8.27992409e-02,9.01577323e-07,8.48886073e-02,8.96479435e-07,1.06158119e-03,7.78241997e-07,3.39872600e-03,8.08366394e-07,3.06166912e-05,6.92816855e-07,2.05727574e-05,6.80945220e-07,2.47903870e-07,5.95126608e-07,1.87178796e-06,6.24124937e-07,5.35436584e-09,5.29215868e-07,4.21886170e-09,5.08633207e-07,1.11242571e-10,4.68982421e-07,1.37333700e-10,4.55164979e-07
6.00000024e-01,1.36739373e-01,1.14862235e-06,1.38653755e-01,1.14251725e-06,2.23348592e-03,1.01053479e-06,6.73561310e-03,1.04581648e-06,7.30492247e-05,9.08472089e-07,4.92311119e-05,8.93449396e-07,6.69197959e-07,7.87950682e-07,4.72099600e-06,8.23742994e-07,1.54780651e-08,7.05457296e-07,1.19169954e-08,6.77742548e-07,3.35319328e-10,6.28246596e-07,4.05634637e-10,6.08780567e-07
6.99999988e-01,2.05255106e-01,1.39516771e-06,2.06220165e-01,1.38773100e-06,4.24360903e-03,1.24496421e-06,1.20606627e-02,1.28445561e-06,1.58040159e-04,1.12659495e-06,1.06950371e-04,1.10773397e-06,1.65090853e-06,9.83835093e-07,1.08426948e-05,1.02538559e-06,4.12477448e-08,8.85238478e-07,3.09504458e-08,8.49810306e-07,9.39223810e-10,7.91554783e-07,1.10782139e-09,7.65852519e-07
8.00000012e-01,2.86139756e-01,1.63447453e-06,2.85312504e-01,1.62546041e-06,7.39652244e-03,1.47435503e-06,1.98497642e-02,1.51726545e-06,3.13729106e-04,1.33991296e-06,2.13403066e-04,1.31677575e-06,3.74882893e-06,1.17540026e-06,2.29036123e-05,1.22194956e-06,1.01771320e-07,1.06107325e-06,7.43085025e-08,1.01780506e-06,2.45069032e-09,9.51488801e-07,2.80653012e-09,9.19522961e-07
8.99999976e-01,3.76662642e-01,1.87279829e-06,3.73276830e-01,1.86184548e-06,1.19881341e-02,1.70411965e-06,3.04638892e-02,1.74998115e-06,5.77814120e-04,1.55353541e-06,3.95392242e-04,1.52582345e-06,7.89992464e-06,1.36696076e-06,4.49362196e-05,1.41813769e-06,2.33636968e-07,1.23667337e-06,1.66039342e-07,1.18517698e-06,5.97788130e-09,1.11133988e-06,6.63044375e-09,1.07262588e-06
1.00000000e+00,4.74214613e-01,2.10978101e-06,4.67628449e-01,2.09671907e-06,1.82760973e-02,1.93438427e-06,4.41195555e-02,1.98277053e-06,9.97096417e-04,1.76741287e-06,6.86841609e-04,1.73494902e-06,1.55731614e-05,1.55811426e-06,8.26232426e-05,1.61397247e-06,5.01777492e-07,1.41115686e-06,3.47687148e-07,1.35136816e-06,1.36911353e-08,1.26962118e-06,1.46939101e-08,1.22431402e-06
1.10000002e+00,5.76594472e-01,2.34865774e-06,5.66300929e-01,2.33351261e-06,2.64598206e-02,2.16807143e-06,6.08892255e-02,2.21889218e-06,1.62595767e-03,1.98461953e-06,1.12802035e-03,1.94780228e-06,2.89292166e-05,1.75213495e-06,1.43499914e-04,1.81309849e-06,1.01410717e-06,1.58787157e-06,6.86768487e-07,1.51976019e-06,2.95847826e-08,1.42958447e-06,3.07247205e-08,1.37761333e-06
1.20000005e+00,6.82078362e-01,2.58656041e-06,6.67688966e-01,2.56945646e-06,3.66722457e-02,2.40356508e-06,8.07228088e-02,2.45646174e-06,2.52402504e-03,2.20440324e-06,1.76412030e-03,2.16345552e-06,5.09725978e-05,1.94857398e-06,2.37043714e-04,2.01507282e-06,1.94007066e-06,1.76646222e-06,1.28726128e-06,1.69024747e-06,6.06253820e-08,1.59074352e-06,6.09497306e-08,1.53244173e-06
1.29999995e+00,7.89371908e-01,2.82648193e-06,7.70587981e-01,2.80756967e-06,4.89803739e-02,2.64304595e-06,1.03479430e-01,2.69783231e-06,3.75340856e-03,2.42874194e-06,2.64339847e-03,2.38402936e-06,8.56799088e-05,2.14965326e-06,3.74637952e-04,2.22204699e-06,3.53271230e-06,1.94949871e-06,2.30188107e-06,1.86522959e-06,1.18347089e-07,1.75591185e-06,1.15282717e-07,1.69121711e-06
1.39999998e+00,8.97520781e-01,3.06514335e-06,8.74106586e-01,3.04448940e-06,6.33928925e-02,2.88397860e-06,1.28957912e-01,2.94009556e-06,5.37594128e-03,2.65568724e-06,3.81514290e-03,2.60722300e-06,1.38089963e-04,2.35374091e-06,5.69414755e-04,2.43211639e-06,6.15349336e-06,2.13549811e-06,3.94572589e-06,2.04334242e-06,2.20873176e-07,1.92367020e-06,2.08845108e-07,1.85284648e-06
1.50000000e+00,1.00582671e+00,3.30549369e-06,9.77585256e-01,3.28306351e-06,7.98722804e-02,3.12833140e-06,1.56923965e-01,3.18531170e-06,7.45065557e-03,2.88665728e-06,5.32769039e-03,2.83441250e-06,2.14346714e-04,2.56225621e-06,8.35994957e-04,2.64644405e-06,1.02986478e-05,2.32611501e-06,6.51061328e-06,2.22588278e-06,3.95389975e-07,2.09598170e-06,3.63834943e-07,2.01876401e-06
1.60000002e+00,1.11380947e+00,3.54066810e-06,1.08054674e+00,3.51642097e-06,9.83465761e-02,3.36850621e-06,1.87131196e-01,3.42596945e-06,1.00317551e-02,3.11404983e-06,7.22671021e-03,3.05791195e-06,3.21689440e-04,2.76794731e-06,1.19015668e-03,2.85758938e-06,1.66255322e-05,2.51428401e-06,1.03793600e-05,2.40607369e-06,6.81199822e-07,2.26598809e-06,6.11751432e-07,2.18260789e-06
1.70000005e+00,1.22104692e+00,3.77080323e-06,1.18263018e+00,3.74470255e-06,1.18719287e-01,3.60646868e-06,2.19334275e-01,3.66363429e-06,1.31669808e-02,3.34078845e-06,9.55378823e-03,3.28060901e-06,4.68393613e-04,2.97384986e-06,1.64845504e-03,3.06852758e-06,2.59767585e-05,2.70328019e-06,1.60389136e-05,2.58699424e-06,1.13319254e-06,2.43739828e-06,9.95883056e-07,2.34762479e-06
1.79999995e+00,1.32726622e+00,4.00367981e-06,1.28356814e+00,3.97518625e-06,1.40879095e-01,3.84785608e-06,2.53297210e-01,3.90387822e-06,1.68968849e-02,3.57092563e-06,1.23454155e-02,3.50609162e-06,6.63667917e-04,3.18310163e-06,2.22782791e-03,3.28217016e-06,3.94021845e-05,2.89562286e-06,2.40923655e-05,2.77068716e-06,1.82590315e-06,2.61219066e-06,1.57409795e-06,2.51556048e-06
1.89999998e+00,1.43227518e+00,4.24040127e-06,1.38316512e+00,4.20932156e-06,1.64706677e-01,4.09426593e-06,2.88797975e-01,4.14863371e-06,2.12544892e-02,3.80631286e-06,1.56323668e-02,3.73650118e-06,9.17516300e-04,3.39744088e-06,2.94521288e-03,3.50057985e-06,5.81767599e-05,3.09259121e-06,3.52688658e-05,2.95852374e-06,2.85773240e-06,2.79118785e-06,2.42181954e-06,2.68729809e-06
2.00000000e+00,1.53593636e+00,4.47707998e-06,1.48128331e+00,4.44325042e-06,1.90079868e-01,4.34252797e-06,3.25631857e-01,4.39447149e-06,2.62652822e-02,4.04420280e-06,1.94394086e-02,3.96918313e-06,1.24057417e-03,3.61469120e-06,3.81719298e-03,3.72141812e-06,8.38129999e-05,3.29236809e-06,5.04310665e-05,3.14881549e-06,4.35549418e-06,2.97278893e-06,3.63513300e-06,2.86143336e-06
2.09999990e+00,1.63815486e+00,4.71489329e-06,1.57782793e+00,4.67823247e-06,2.16877237e-01,4.59350895e-06,3.63611847e-01,4.64257482e-06,3.19475681e-02,4.28552994e-06,2.37853117e-02,4.20528022e-06,1.64393499e-03,3.83574070e-06,4.85968729e-03,3.94582412e-06,1.18068172e-04,3.49594666e-06,7.05797647e-05,3.34254787e-06,6.47900652e-06,3.15806597e-06,5.33394132e-06,3.03879847e-06
